Parasites,predation,tank,week,JulianDate,host.density.L-1,infected.host.density.L-1,Prevalence
0,0.5,19,6,217,30,0,0
0,0.5,19,7,224,99.5,0,0
0,0.5,19,8,231,91.5,0,0
0,0.5,20,-1,171,10.5,0,0
0,0.5,20,1,182,44,0,0
0,0.5,20,2,189,16,0,0
0,0.5,20,3,196,23.5,0,0
0,0.5,20,4,203,51.5,0,0
0,0.5,20,5,210,37,0,0
0,0.5,20,6,217,66.5,0,0
0,0.5,20,7,224,33,0,0
0,0.5,20,8,231,52.5,0,0
0,0.5,21,-1,171,10.5,0,0
0,0.5,21,1,182,38,0,0
0,0.5,21,2,189,48,0,0
0,0.5,21,3,196,64,0,0
0,0.5,21,4,203,92,0,0
0,0.5,21,5,210,91,0,0
0,0.5,21,6,217,72.5,0,0
0,0.5,21,7,224,25.5,0,0
0,0.5,21,8,231,45,0,0
0,0.1,22,-1,171,10.5,0,0
0,0.1,22,1,182,73,0,0
0,0.1,22,2,189,47,0,0
0,0.1,22,3,196,32.5,0,0
0,0.1,22,4,203,32,0,0
0,0.1,22,5,210,20,0,0
0,0.1,22,6,217,26,0,0
0,0.1,22,7,224,38,0,0
0,0.1,22,8,231,24.5,0,0
1,0.1,23,-1,171,10.5,0,0
1,0.1,23,1,182,84,0,0
1,0.1,23,2,189,57,0,0
1,0.1,23,3,196,43,1,0.023255813953488
1,0.1,23,4,203,26,2,0.076923076923077
1,0.1,23,5,210,35.5,1.5,0.042253521126761
1,0.1,23,6,217,88.5,3.5,0.03954802259887
1,0.1,23,7,224,13,0,0
1,0.1,23,8,231,41,5,0.121951219512195
1,0.1,24,-1,171,10.5,0,0
1,0.1,24,1,182,39,0,0
1,0.1,24,2,189,20,0,0
1,0.1,24,3,196,52,2,0.038461538461539
1,0.1,24,4,203,65.5,0.5,0.00763358778626
1,0.1,24,5,210,29,3.5,0.120689655172414
1,0.1,24,6,217,41,3.5,0.085365853658537
1,0.1,24,7,224,21.5,0,0
1,0.1,24,8,231,60.5,6.5,0.107438016528926
0,0.5,27,-1,171,10.5,0,0
0,0.5,27,1,185,42,0,0
0,0.5,27,2,192,38,0,0
0,0.5,27,3,199,36,0,0
0,0.5,27,4,206,99,0,0
0,0.5,27,5,213,26,0,0
0,0.5,27,6,220,89.5,0,0
0,0.5,27,7,227,71.5,0,0
0,0.5,27,8,234,25.5,0,0
0,0.5,28,-1,171,10.5,0,0
0,0.5,28,1,185,53,0,0
0,0.5,28,2,192,35,0,0
0,0.5,28,3,199,66.5,0,0
0,0.5,28,4,206,66,0,0
0,0.5,28,5,213,37.5,0,0
0,0.5,28,6,220,96,0,0
0,0.5,28,7,227,60.5,0,0
0,0.5,28,8,234,57.5,0,0
0,0.5,29,-1,171,10.5,0,0
0,0.5,29,1,185,59,0,0
0,0.5,29,2,192,17,0,0
0,0.5,29,3,199,43.5,0,0
0,0.5,29,4,206,38,0,0
0,0.5,29,5,213,29,0,0
0,0.5,29,6,220,93.5,0,0
0,0.5,29,7,227,59,0,0
0,0.5,29,8,234,63.5,0,0
1,0.1,30,-1,171,10.5,0,0
1,0.1,30,1,185,119,0,0
1,0.1,30,2,192,49,0,0
1,0.1,30,3,199,35.5,1,0.028169014084507
1,0.1,30,4,206,67.5,2.5,0.037037037037037
1,0.1,30,5,213,43,4,0.093023255813954
1,0.1,30,6,220,51,3,0.058823529411765
1,0.1,30,7,227,27.5,1,0.036363636363636
1,0.1,30,8,234,76.5,5,0.065359477124183
1,0.1,31,-1,171,10.5,0,0
1,0.1,31,1,185,123,0,0
1,0.1,31,2,192,49,0,0
1,0.1,31,3,199,47,1.5,0.031914893617021
1,0.1,31,4,206,20.5,5.5,0.268292682926829
1,0.1,31,5,213,23.5,4.5,0.191489361702128
1,0.1,31,6,220,59,9,0.152542372881356
1,0.1,31,7,227,15,4,0.266666666666667
1,0.1,31,8,234,51,4.5,0.088235294117647
1,0.1,32,-1,171,10.5,0,0
1,0.1,32,1,185,85,0,0
1,0.1,32,2,192,6,0,0
1,0.1,32,3,199,46,0.5,0.010869565217391
1,0.1,32,4,206,32.5,3,0.092307692307692
1,0.1,32,5,213,20.5,3,0.146341463414634
1,0.1,32,6,220,21,6,0.285714285714286
1,0.1,32,7,227,40,8.5,0.2125
1,0.1,32,8,234,50.5,14,0.277227722772277
0,0,35,-1,171,10.5,0,0
0,0,35,1,185,64,0,0
0,0,35,2,192,30,0,0
0,0,35,3,199,112,0,0
0,0,35,4,206,38,0,0
0,0,35,5,213,98.5,0,0
0,0,35,6,220,36.5,0,0
0,0,35,7,227,39.5,0,0
0,0,35,8,234,71.5,0,0
0,0,36,-1,171,10.5,0,0
0,0,36,1,185,64,0,0
0,0,36,2,192,32,0,0
0,0,36,3,199,66.5,0,0
0,0,36,4,206,29,0,0
0,0,36,5,213,57.5,0,0
0,0,36,6,220,87.5,0,0
0,0,36,7,227,60,0,0
0,0,36,8,234,16.5,0,0
0,0,37,-1,171,10.5,0,0
0,0,37,1,185,100,0,0
0,0,37,2,192,38,0,0
0,0,37,3,199,56,0,0
0,0,37,4,206,25,0,0
0,0,37,5,213,68,0,0
0,0,37,6,220,63.5,0,0
0,0,37,7,227,41.5,0,0
0,0,37,8,234,25,0,0
1,0.5,38,-1,171,10.5,0,0
1,0.5,38,1,185,40,3,0.075
1,0.5,38,2,192,46,0,0
1,0.5,38,3,199,50.5,5.5,0.108910891089109
1,0.5,38,4,206,41,2,0.048780487804878
1,0.5,38,5,213,54,1.5,0.027777777777778
1,0.5,38,6,220,33.5,1.5,0.044776119402985
1,0.5,38,7,227,39.5,0,0
1,0.5,38,8,234,54.5,2,0.036697247706422
1,0.5,39,-1,171,10.5,0,0
1,0.5,39,1,185,7,0,0
1,0.5,39,2,192,32,0,0
1,0.5,39,3,199,29,0,0
1,0.5,39,4,206,6.5,0,0
1,0.5,39,5,213,35,0,0
1,0.5,39,6,220,33.5,0,0
1,0.5,39,7,227,58.5,0,0
1,0.5,39,8,234,33.5,0,0
1,0.5,40,-1,171,10.5,0,0
1,0.5,40,1,185,17,0,0
1,0.5,40,2,192,13,0,0
1,0.5,40,3,199,73,0,0
1,0.5,40,4,206,56.5,8.5,0.150442477876106
